sub1,sub2,sub3,sub4,sub5,100mspd,10mspd
3.588138578,-1.906277898,-0.311397313,1.236135982,24.91340065,13.3681,11.3043
3.537017368,-2.016259438,-0.293401155,-2.000582671,24.9032259,13.4759,11.3817
3.488088732,-2.81905222,0.335709507,-3.377705106,24.89295909,13.5666,11.4462
3.441533155,-4.585396924,0.19746688,-2.546186736,24.88258362,13.6657,11.5193
3.396262331,-4.847985717,0.116110661,-1.766548204,24.87216093,13.7918,11.6163
3.353043497,-3.590856005,0.361606754,-0.195452112,24.86165787,13.9322,11.7263
3.310104732,-2.652152652,0.402748467,0.558174097,24.85112536,14.0641,11.8301
3.267404006,-1.531767991,0.292645678,0.191152083,24.84056622,14.1627,11.9068
3.226525201,-0.591893541,0.523388198,0.16485837,24.8299244,14.2068,11.9389
3.187145229,-0.099880447,1.029614062,0.043912652,24.8192085,14.1943,11.9239
3.147639278,-0.64004624,-0.008773639,0.182665549,24.80851505,14.1286,11.8642
3.108098552,-2.503689759,1.152154822,0.765593102,24.79784328,14.0129,11.7619
3.069128655,-1.820340961,0.404855642,1.279206107,24.78715056,13.8528,11.622
3.030372937,1.465919236,0.651933922,1.855314368,24.77645954,13.6673,11.4627
2.993269518,2.69929255,0.879284569,2.082456884,24.76569648,13.4785,11.3055
2.957937227,2.505621584,0.993798338,1.857788139,24.75485471,13.3079,11.171
2.923399324,3.140950454,0.365378471,1.486283329,24.74398842,13.1656,11.0688
2.890010366,3.889960506,1.755720012,0.831229392,24.73307972,13.0175,10.9659
2.8555798,4.785756126,0.000367085,0.506111401,24.72218559,12.8205,10.82
2.819815625,6.085915339,1.265961692,0.576990762,24.71131658,12.5354,10.5928
2.784031026,6.101296723,0.839386927,0.624853281,24.70043204,12.1568,10.2772
2.747595977,4.781328528,0.991342116,0.810184391,24.68954899,11.7793,9.9592
2.711586035,4.729886568,1.045050174,0.604831719,24.6786455,11.5015,9.7284
2.676107811,5.723795665,0.611009828,-0.06863141,24.66771811,11.399,9.6534
2.64007008,5.587470021,1.392523721,-0.826856528,24.6567927,11.5097,9.7689
2.603694291,4.698363116,0.847510721,-1.815432736,24.64586461,11.7502,10.001
2.56896371,3.770578055,1.006441804,-2.270853136,24.63486957,12.0001,10.2413
2.535907335,2.471862577,1.071929905,-2.093505228,24.62380541,12.1202,10.3162
2.503717377,1.767175727,0.813297041,-1.766889952,24.61269981,12.0085,10.191
2.472894186,1.784184698,1.737701154,-1.076316149,24.60153611,11.7466,10.0482
2.442002196,1.457458009,0.347681581,-0.767499679,24.59035789,11.4607,9.8002
2.410953566,1.005756592,0.630028431,-0.925906402,24.57916781,11.2606,9.6282
2.380881757,0.352505666,1.34616361,-1.007481041,24.56793001,11.2088,9.5859
2.35147334,-0.678641824,1.264954946,-1.204440231,24.55665377,11.2583,9.6291
2.321145388,-2.026217525,0.312073962,-1.022447701,24.54544588,11.3442,9.6981
2.289870368,-3.795905181,1.523166145,-0.371444008,24.53431268,11.4054,9.7365
2.258173521,-4.201526942,0.691362865,0.358780243,24.52321031,11.4001,9.7062
2.225634407,-3.110359428,-0.336846198,1.309402923,24.5121683,11.3609,9.6394
2.19344508,-2.856144769,2.023760191,1.697823408,24.50111609,11.3388,9.5857
2.161634633,-3.106820022,1.66641359,1.418720555,24.49005124,11.3843,9.5934
2.129235141,-2.399023955,-0.440192998,0.960946411,24.4790354,11.5288,9.6936
2.096478881,-1.041803014,1.745727483,0.101541588,24.46805506,11.7291,9.848
